Unix,Date,Symbol,Open,High,Low,Close,Volume BNT,Volume BTC,tradecount
1710374400000,2024-03-14,BNTBTC,1.377e-05,1.387e-05,1.323e-05,1.384e-05,100264.7,1.36029416,998
1710288000000,2024-03-13,BNTBTC,1.407e-05,1.443e-05,1.365e-05,1.376e-05,277341.9,3.91043172,2052
1710201600000,2024-03-12,BNTBTC,1.387e-05,1.411e-05,1.328e-05,1.407e-05,157523.2,2.15817179,1534
1710115200000,2024-03-11,BNTBTC,1.391e-05,1.412e-05,1.353e-05,1.386e-05,203632.8,2.80868655,3571
1710028800000,2024-03-10,BNTBTC,1.404e-05,1.409e-05,1.34e-05,1.39e-05,106720.1,1.47043746,2581
1709942400000,2024-03-09,BNTBTC,1.39e-05,1.436e-05,1.386e-05,1.404e-05,143218.9,2.03064472,830
1709856000000,2024-03-08,BNTBTC,1.43e-05,1.441e-05,1.346e-05,1.392e-05,252609.1,3.51013692,2938
1709769600000,2024-03-07,BNTBTC,1.404e-05,1.429e-05,1.36e-05,1.426e-05,213025.2,2.98104567,1575
1709683200000,2024-03-06,BNTBTC,1.339e-05,1.433e-05,1.32e-05,1.403e-05,156025.3,2.13094782,1624
1709596800000,2024-03-05,BNTBTC,1.357e-05,1.444e-05,1.254e-05,1.335e-05,410551.1,5.70346965,5487
1709510400000,2024-03-04,BNTBTC,1.441e-05,1.448e-05,1.346e-05,1.358e-05,167157.3,2.34551328,1318
1709424000000,2024-03-03,BNTBTC,1.477e-05,1.598e-05,1.348e-05,1.449e-05,173476.9,2.51160621,2830
1709337600000,2024-03-02,BNTBTC,1.439e-05,1.477e-05,1.414e-05,1.476e-05,130839.7,1.88696149,1646
1709251200000,2024-03-01,BNTBTC,1.392e-05,1.457e-05,1.392e-05,1.442e-05,84186.9,1.20433451,1230
1709164800000,2024-02-29,BNTBTC,1.394e-05,1.433e-05,1.362e-05,1.392e-05,166346.0,2.33296333,2061
